id;account_currency;account_number;account_status;account_lifecycle_status_code;accrual_status_code;casa_account_status;minor_account_status_code;account_title;advance_against_uncleared_funds;ad_hoc_statement_flag;additional_address_flag;atm_facility_flag;check_reorder_threshold_number;deferred_stmt_generation_day_of_month;generate_rate_change_intimation_flag;group_bonus_interes_flag;hold_mail_flag;interest_waiver_flag;internet_banking_access_flag;inward_direct_debit_authorization_flag;joint_account_flag;lead_days_intimation;mail_address_control_flag;mobile_facility_flag;number_of_check_withdrawals;number_of_past_due_checks;number_of_statement_copies;overdraft_limit_amount;point_of_sale_facility_flag;standing_instruction_flag;sweepout_instruction_flag;available_balance;branch_code;branch_name;branch_short_name;credits_month_till_date_amount;current_balance;customer_number;is_absa_customer;full_name;account_opening_date;statement_period_start_date;statement_period_end_date;debits_last_date;credit_last_date;debits_month_till_date_amount;debits_year_till_date_amount;credit_interest_accrued_amount;debit_interest_accrued_amount;adjusted_credit_interest_accrued;adjusted_debit_interest_accrued;projected_tax_on_accrued_interest_amount;interest_accrued_in_current_financial_year;issued_inventory_property_type;last_issued_check_number;language_code;line_number;minimum_required_balance_amount;minimum_required_trading_balance_amount;mtd_credits_count;mtd_debits_count;net_available_balance_for_withdrawal;net_balance_amount;passbook_lifecycle_status_code;periodic_average_balance_amount;previous_day_closing_book_balance;product_code;product_name;restricted_account_flag;staff_flag;sweepin_amount_on_lien;tax_code_1;tax_code_2;tds_exemption_limit_amount_1;tds_exemption_limit_amount_2;total_casa_hold_amount;total_unclear_fund_amount;ytd_credit_last_amount;ytd_credits_count;ytd_debits_count;ytd_debits_last_amount;message;source_info;status;cust_free_text_field_1;cust_free_text_field_2;cust_free_text_field_3;cust_free_text_field_4;cust_free_text_field_5;cust_free_text_field_6;cust_free_text_field_7;cust_free_text_field_8;cust_free_text_field_9;cust_free_text_field_10;cust_free_text_field_11;cust_free_text_field_12;cust_free_text_field_13;cust_free_text_field_14;cust_free_text_field_15;cust_free_text_field_16;cust_free_text_field_17;cust_free_text_field_18;cust_free_text_field_19;cust_free_text_field_20;cust_free_text_field_21;cust_free_text_field_22;cust_free_text_field_23;cust_free_text_field_24;cust_free_text_field_25;cust_free_text_field_26;cust_free_text_field_27;cust_free_text_field_28;cust_free_text_field_29;cust_free_text_field_30;cust_free_text_field_31
1;discrete Arizona Fish;Cheese mesh;ClosedWithdrawal;ACTIVE;Legacy Arizona;ACTIVE;MAJOR;port Liaison models;16157;false;false;false;63274;81174;false;N;ON_HOLD;NO_INTEREST_WAIVER;false;false;true;false;true;true;17251;47677;44470;80432;true;false;false;50714;76984;SMTP;Steel Concrete Cambridgeshire;15405;74638;extend;true;Money USB;2023-07-21T00:59:06;2023-07-20T21:46:14;2023-07-21T05:22:19;2023-07-21T07:42:08;2023-07-21T07:22:06;2023-07-21T19:03:31;19851;38847;5490;27763;77437;97380;77326;payment;40151;English;70017;81392;45625;73452;4163;98653;68312;52379;87168;28586;17384;synergies haptic haptic;true;true;20747;14588;97602;324;66513;65577;6462;48762;90584;35004;81550;synthesize application Movies;navigating sensor;Michigan;Fort monitor clicks-and-mortar;Avenue;Shirt Baby connect;invoice Trafficway;Auto drive;deposit Pants;Division concept;USB Self-enabling tertiary;Designer reciprocal;Czech Coordinator up;Chair bottom-line haptic;Outdoors e-enable;SDD;Toys Arizona;drive orange;24/365 Investor;Liaison bluetooth Garden;Markets;distributed Mobility Investor;Cheese Gorgeous benchmark;Loan Idaho;Circles;Cambridgeshire;Research invoice;synthesizing;Borders optical;Officer;De-engineered Seychelles;Sausages blockchains;analyzer;Chips Chips RSS
2;Grocery;Peso Central;Active;ACTIVE;payment Gold;ACTIVE;MAJOR;pixel lime;94053;true;false;true;7415;4170;false;N;ON_HOLD;INTEREST_WAIVER;false;true;true;true;false;true;77768;16405;26283;48079;true;true;true;25653;34979;Savings;THX;14380;33625;Towels;true;partnerships;2023-07-20T22:58:19;2023-07-21T11:09:28;2023-07-21T10:21:26;2023-07-21T17:56:41;2023-07-21T10:24:48;2023-07-21T03:58:50;13292;26362;94121;62586;73791;42023;38387;Bahamas Exclusive Myanmar;85439;English;29630;2471;87842;36944;96227;83821;59173;5847;52533;81911;80051;Ukraine;false;false;6776;61965;97246;2890;2160;14768;50628;73837;74715;63218;83386;backing expedite bluetooth;hack Bedfordshire Connecticut;monitoring New;Soap withdrawal;redundant;Plastic Account bluetooth;e-markets;Utah;Serbia user-centric;microchip withdrawal mission-critical;program Personal encompassing;Pants Electronics;e-commerce Ergonomic;Account PCI;contingency transmitting;Chicken;Intelligent Thailand incremental;Loan;Sleek Soft lime;Rubber Kwanza;plum Somalia interface;blue withdrawal User-friendly;Metal Salad;Wyoming Response;groupware Colorado Sleek;Automotive port;Credit Books Jewelery;Rupee Books Towels;Assistant Mountains Home;Granite empower Jamaican;Rustic Infrastructure Louisiana;protocol intangible ROI;Personal;Fresh Assurance models
3;primary Adaptive;Associate Personal;Active;ACTIVE;Guinea Program Vatu;ACTIVE;MAJOR;user;6807;false;true;true;12488;94113;false;N;ON_HOLD;INTEREST_WAIVER;true;false;true;false;true;false;29445;59415;89372;41254;false;false;false;59789;47267;Personal;Generic Dynamic;89619;88834;orchestrate;true;Movies Legacy bypass;2023-07-21T13:22:16;2023-07-20T20:20:37;2023-07-21T09:03:12;2023-07-21T04:46:52;2023-07-21T11:07:05;2023-07-21T10:28:42;61703;83849;68674;73847;74455;3092;80689;transmitting quantify;89061;English;22523;26920;4946;94908;93777;8461;92713;73069;71053;67047;22386;networks West;false;false;86344;49010;99057;5859;68614;12049;58818;21691;13593;16038;7588;Virginia monitor Oklahoma;scalable Caribbean Investor;Branding Som;foreground alarm Fresh;Home AGP;Bulgaria Data generation;Mouse;Washington Borders;transmitting;Auto;expedite yellow deposit;violet Home;Common Fantastic Cambridgeshire;eyeballs parsing enhance;HTTP;Car violet;Liaison wireless;Drives Practical;Parks experiences;pink;mobile Loan Hat;Legacy;enable disintermediate deposit;Human Uruguay indigo;Rubber haptic granular;Future;systemic back-end;Virginia fresh-thinking Buckinghamshire;Indian;synergy hack;quantify Rwanda 24/7;invoice;payment Avon Avon;Frozen Avon
4;Dollar;solutions users;Closed;ACTIVE;Assistant;ACTIVE;MINOR;Dollar Berkshire;3791;false;false;false;17696;69066;false;N;OFF_HOLD;INTEREST_WAIVER;false;true;false;false;false;false;17359;20998;37604;6943;false;false;false;72735;26784;Computer Switchable Berkshire;Massachusetts Checking Savings;64415;17020;Manors driver web-enabled;false;withdrawal Berkshire;2023-07-20T23:30:12;2023-07-21T08:31:51;2023-07-21T11:35:59;2023-07-21T19:38:57;2023-07-21T14:33:22;2023-07-21T01:57:45;39176;46904;86960;72273;45868;2426;2827;Engineer Cameroon Granite;85281;English;36046;68187;20302;92284;31049;69799;82999;3904;12179;6984;12522;Kansas;false;true;30848;21515;98365;22370;18806;15698;85222;19095;76069;98245;83061;enable;hacking;Uruguayo synergies Factors;Gloves Bacon;payment;Car;overriding;PCI Generic SMTP;task-force Republic Account;Unbranded capacitor;uniform Cambridgeshire;Planner;deposit violet;drive Agent;Integration Pizza;Inverse withdrawal;local synthesizing Account;back-end;Wooden Nevada Practical;bandwidth synthesizing technologies;Checking;Account Concrete;redefine Credit;open-source card feed;SAS;platforms Granite;Intelligent;New Pine;Berkshire Virginia;Handmade Switchable Coordinator;Fish projection;grey override to;state Libyan;Toys
5;Iowa transmit exploit;paradigms;Active;ACTIVE;Global;ACTIVE;MAJOR;Internal;80588;false;true;false;16864;67017;false;N;ON_HOLD;INTEREST_WAIVER;true;true;false;true;false;true;3869;15334;55055;44923;true;false;true;88550;84171;Iowa;synthesizing;52249;93458;architectures Internal;false;Personal scalable budgetary;2023-07-21T18:57:58;2023-07-21T01:14:52;2023-07-21T03:11:42;2023-07-21T18:39:23;2023-07-21T13:39:13;2023-07-21T13:33:18;50616;34905;20797;11625;30414;74437;58338;Regional Lesotho red;98043;English;46515;58569;72336;27315;24205;43219;74459;63518;65950;24881;18081;Customizable CSS virtual;false;true;74099;52378;1005;59745;85040;75996;20788;66056;40627;55350;48383;Camp yellow South;Vermont Indiana;gold Colombia Future;Human Rubber Kwacha;Concrete e-markets killer;Wooden;Soft GB Gambia;Auto Chief back-end;Locks;up adapter;Incredible;Rubber Ferry up;wireless;matrices Czech;payment Berkshire online;Public-key;Chile Hat;firewall;software Mandatory SMS;Security;SDR Latvia Keyboard;synthesizing systematic Towels;Applications Small Nevada;Marketing Usability Music;cultivate;cohesive Account aggregate;Table;implement;Customer;XSS quantify back-end;Islands;aggregate;Officer bleeding-edge synthesize;bypassing USB
6;Fresh Pants mobile;Agent;Active;ACTIVE;customized Pizza;ACTIVE;MAJOR;markets software;42563;false;false;false;15619;7986;false;N;ON_HOLD;INTEREST_WAIVER;true;true;false;true;true;true;9029;69848;67812;94856;false;true;true;75850;47977;Investor;leverage Assurance;47807;92847;Alaska;false;calculating high-level;2023-07-21T10:15:54;2023-07-20T22:54:46;2023-07-20T23:33:11;2023-07-21T06:04:41;2023-07-21T01:15:08;2023-07-21T06:59:30;99430;14411;9351;16554;24736;37194;51469;Planner Borders capacitor;211;English;80229;97835;81176;21935;69169;57083;46937;34549;11826;80574;88591;Movies national migration;false;true;18974;8885;4293;26520;8155;4039;99538;93897;28200;83027;45074;groupware Gloves;navigate navigating Track;reboot algorithm e-business;HDD Creek mobile;encompassing Alaska revolutionary;Ohio online;Tools Land;quantify;SAS extend;Account withdrawal Streamlined;Re-contextualized;fuchsia;infrastructures;Cotton Wooden;Plastic;Rupiah;Salad Berkshire Plastic;copy integrate;Consultant architect groupware;Practical;compressing lime Associate;Developer;Ameliorated;functionalities grow;Circle Buckinghamshire tertiary;digital matrix withdrawal;interface Rufiyaa bypass;bluetooth copy;Bacon Kids overriding;Account Wyoming Interactions;Internal Soft;withdrawal;exploit;Facilitator Jewelery Technician
7;Executive Account;Gloves;ClosedWithdrawal;ACTIVE;invoice Customer;ACTIVE;MAJOR;deposit Soap;41007;true;true;false;57387;84485;true;N;OFF_HOLD;NO_INTEREST_WAIVER;true;true;true;true;true;true;93715;18277;21768;91484;true;true;true;48951;82386;back Fork;e-services;79849;46066;violet;false;reintermediate;2023-07-21T16:31:05;2023-07-21T18:36:10;2023-07-21T14:30:47;2023-07-20T20:56:36;2023-07-21T14:14:06;2023-07-21T05:15:08;27844;88276;61216;71654;56845;78845;29600;reboot hierarchy bluetooth;62012;English;85302;23563;62046;43089;36874;19240;23746;18744;78515;10692;54818;Borders;true;true;88771;84274;16394;18049;91954;15578;99760;43055;70761;79231;98339;port;Cambridgeshire Borders;Steel;copying Keyboard;Proactive Cambridgeshire Avon;Berkshire Credit 1080p;relationships Chips;azure lime Salad;Massachusetts;Sleek overriding Tuvalu;withdrawal Handmade;Investment Berkshire;expedite Agent Buckinghamshire;local real-time;platforms;Leu system Rustic;Assimilated sensor;Regional auxiliary SMTP;neural;Hryvnia;Credit JBOD;Peso Executive Tenge;clicks-and-mortar deposit;Macao envisioneer Wooden;RSS Organic invoice;transition;Developer transitional Keyboard;communities Barbuda;program budgetary;Shoes;Estonia;Factors multi-byte productivity;Salad indexing;alarm Soft
8;Legacy;Circle Unbranded Alaska;Closed;ACTIVE;Borders;ACTIVE;MINOR;directional monitor Chicken;8525;false;true;false;55291;24891;false;N;OFF_HOLD;NO_INTEREST_WAIVER;true;true;false;false;false;true;3111;27895;39539;8251;true;false;false;87501;97769;open-source HDD District;Product Distributed;51367;93764;attitude;true;Pennsylvania Ouguiya;2023-07-20T21:36:37;2023-07-20T20:32:10;2023-07-21T05:41:34;2023-07-21T12:51:14;2023-07-21T14:37:32;2023-07-21T07:58:27;1506;47298;69942;47367;80273;60535;36812;Account Bedfordshire moratorium;33755;English;23159;36653;62745;72788;68084;12592;70683;28401;67778;33823;9322;Vista;true;false;72266;78454;28856;1991;31657;65758;19407;55371;35983;22995;38474;Avon Salad Virginia;capacitor driver Shilling;generate solution;Rustic;Chicken Bike;evolve;Account Dollar Rubber;compress;Keyboard productivity;Avon bypassing;Extensions interface Handmade;hierarchy;invoice object-oriented input;Fish cross-platform;haptic;next Account;Malaysian Manat;PNG Maryland;Sausages mindshare Pizza;Philippine Generic;neural Kina Refined;Producer Lithuanian encompassing;Frozen Directives;Borders Handcrafted;Bike;Self-enabling withdrawal turn-key;6th;Viaduct;Manat Cotton;Ethiopia Designer Buckinghamshire;Rustic EXE relationships;Strategist bypassing;Analyst TCP monitor;extensible
9;Borders calculating;Table;ClosedWithdrawal;ACTIVE;access Multi-lateral;ACTIVE;MINOR;Shirt invoice;75541;false;false;false;75865;58979;false;Y;ON_HOLD;INTEREST_WAIVER;false;true;true;true;true;false;88282;56471;22346;19098;false;false;false;376;29098;Accounts;online interface;42289;83563;Connecticut;false;Michigan Concrete;2023-07-21T01:35:33;2023-07-21T00:36:46;2023-07-21T16:53:01;2023-07-20T23:41:09;2023-07-21T12:24:00;2023-07-21T18:57:20;78242;33992;25644;3908;71871;36678;50366;Technician;18696;English;99801;53573;98055;72162;30747;18226;3217;52590;32077;78851;71320;Tasty Chair;false;true;23249;39396;24955;18585;50466;5340;90629;21308;26957;16266;95263;service-desk;grey;Tactics;deposit Cotton;CSS extensible Rustic;Account;deposit;and;Licensed even-keeled Practical;Handcrafted;redundant strategic;Sao Customer-focused Division;Account SDD;Villages;bypassing Functionality;Islands;synthesizing;Frozen Wooden;hacking;Supervisor;digital Grove Frozen;Lead;Missouri generating;Rustic;of solid;Direct JSON Regional;Borders Mouse;lime SMTP;Handcrafted violet;Hampshire convergence;Shoes;TCP Rustic;interface Angola Technician;JBOD synergies Borders
10;1080p expedite rich;Strategist;Active;ACTIVE;24;ACTIVE;MINOR;Diverse;26986;false;false;false;40660;71502;true;Y;ON_HOLD;NO_INTEREST_WAIVER;false;false;true;false;true;false;71269;89246;60889;97150;false;false;true;40204;26585;Accounts primary;Orchestrator open-source lavender;77908;63644;Practical Metal;false;deposit driver Object-based;2023-07-21T10:26:08;2023-07-21T16:27:39;2023-07-21T14:15:46;2023-07-21T11:59:47;2023-07-21T14:41:43;2023-07-21T04:33:08;63932;39374;43708;18971;44486;80817;27346;Concrete connecting;24839;English;52595;69724;46206;27555;51338;97872;36896;16020;92391;70987;43583;Islands teal;false;true;22684;80301;86423;35787;13893;30947;49655;90800;74215;14407;75134;Trace Balanced;Intelligent Georgia Representative;networks;Card;backing EXE redundant;Pizza;silver PNG;e-tailers;morph Bedfordshire;Orchestrator Burgs panel;bricks-and-clicks payment;experiences Research digital;migration monitor Rubber;methodologies infomediaries Bedfordshire;e-business;Shoal content Platinum;Soft Florida Research;Spain Group;auxiliary Beauty;Rubber;Dinar deposit;Account;connecting Guinea-Bissau Tasty;Loan synergy Savings;Metal application;Bike;Multi-layered;superstructure;Gloves;solutions quantify Oro;Micronesia Industrial;Dynamic;copying;pink
